	Month	Weekday	Hour	Temp	Rain	zipcode	count
302	4	1	2	41.0	0.0	10013	88
303	4	1	2	41.0	0.0	10014	142
304	4	1	2	41.0	0.0	10016	126
305	4	1	2	41.0	0.0	10017	88
306	4	1	2	41.0	0.0	10018	85
307	4	1	2	41.0	0.0	10019	279
308	4	1	2	41.0	0.0	10020	2
309	4	1	2	41.0	0.0	10021	58
310	4	1	2	41.0	0.0	10022	134
311	4	1	2	41.0	0.0	10023	49
312	4	1	2	41.0	0.0	10024	42
313	4	1	2	41.0	0.0	10025	52
314	4	1	2	41.0	0.0	10026	18
315	4	1	2	41.0	0.0	10027	36
316	4	1	2	41.0	0.0	10028	48
317	4	1	2	41.0	0.0	10029	32
318	4	1	2	41.0	0.0	10030	7
319	4	1	2	41.0	0.0	10031	17
320	4	1	2	41.0	0.0	10032	14
321	4	1	2	41.0	0.0	10033	9
322	4	1	2	41.0	0.0	10034	11
323	4	1	2	41.0	0.0	10035	55
324	4	1	2	41.0	0.0	10036	182
325	4	1	2	41.0	0.0	10037	51
326	4	1	2	41.0	0.0	10038	21
327	4	1	2	41.0	0.0	10040	1
328	4	1	2	41.0	0.0	10048	1
329	4	1	2	41.0	0.0	10065	37
330	4	1	2	41.0	0.0	10075	24
331	4	1	2	41.0	0.0	10107	1
332	4	1	2	41.0	0.0	10112	9
333	4	1	2	41.0	0.0	10128	21
334	4	1	2	41.0	0.0	10155	2
335	4	1	2	41.0	0.0	10270	1
336	4	1	2	41.0	0.0	10280	1
337	4	1	2	41.0	0.0	10281	1
338	4	1	2	41.0	0.0	10282	4
339	4	1	2	41.0	0.0	10451	6
340	4	1	2	41.0	0.0	10453	4
341	4	1	2	41.0	0.0	10454	4
342	4	1	2	41.0	0.0	10455	5
343	4	1	2	41.0	0.0	10456	5
344	4	1	2	41.0	0.0	10457	5
345	4	1	2	41.0	0.0	10458	4
346	4	1	2	41.0	0.0	10459	1
347	4	1	2	41.0	0.0	10460	1
348	4	1	2	41.0	0.0	10461	1
349	4	1	2	41.0	0.0	10468	2
350	4	1	2	41.0	0.0	10472	3
351	4	1	2	41.0	0.0	10474	1
354	4	1	2	41.0	0.0	11101	42
355	4	1	2	41.0	0.0	11102	14
356	4	1	2	41.0	0.0	11103	38
357	4	1	2	41.0	0.0	11104	8
358	4	1	2	41.0	0.0	11105	12
359	4	1	2	41.0	0.0	11106	26
360	4	1	2	41.0	0.0	11201	32
361	4	1	2	41.0	0.0	11203	1
362	4	1	2	41.0	0.0	11205	9
363	4	1	2	41.0	0.0	11206	34
364	4	1	2	41.0	0.0	11207	8
365	4	1	2	41.0	0.0	11211	128
366	4	1	2	41.0	0.0	11213	1
367	4	1	2	41.0	0.0	11215	12
368	4	1	2	41.0	0.0	11216	9
369	4	1	2	41.0	0.0	11217	36
370	4	1	2	41.0	0.0	11218	3
371	4	1	2	41.0	0.0	11219	3
372	4	1	2	41.0	0.0	11220	2
373	4	1	2	41.0	0.0	11221	17
374	4	1	2	41.0	0.0	11222	26
375	4	1	2	41.0	0.0	11225	2
376	4	1	2	41.0	0.0	11230	1
377	4	1	2	41.0	0.0	11231	10
378	4	1	2	41.0	0.0	11232	1
379	4	1	2	41.0	0.0	11233	4
380	4	1	2	41.0	0.0	11234	1
381	4	1	2	41.0	0.0	11235	3
382	4	1	2	41.0	0.0	11237	12
383	4	1	2	41.0	0.0	11238	10
384	4	1	2	41.0	0.0	11249	28
385	4	1	2	41.0	0.0	11354	8
386	4	1	2	41.0	0.0	11355	1
387	4	1	2	41.0	0.0	11364	1
388	4	1	2	41.0	0.0	11365	1
389	4	1	2	41.0	0.0	11368	6
390	4	1	2	41.0	0.0	11372	12
391	4	1	2	41.0	0.0	11373	51
392	4	1	2	41.0	0.0	11374	2
393	4	1	2	41.0	0.0	11375	10
394	4	1	2	41.0	0.0	11377	26
395	4	1	2	41.0	0.0	11415	3
396	4	1	2	41.0	0.0	11420	4
397	4	1	2	41.0	0.0	11430	2
401	4	1	3	41.0	0.0	10001	87
402	4	1	3	41.0	0.0	10002	93
403	4	1	3	41.0	0.0	10003	127
404	4	1	3	41.0	0.0	10004	7
405	4	1	3	41.0	0.0	10005	6
