"Zipcode","DayofWeek","Hour","Temp","Rain","RFR_pred","XGB_pred","Ensemble_pred","Neighborhood"
"10001",1,6,19,0,644,645,650,"Chelsea and Clinton"
"10001",5,3,20,0,465,472,467,"Chelsea and Clinton"
"10001",6,3,20,0,543,596,536,"Chelsea and Clinton"
"10001",5,12,25,0,942,1035,930,"Chelsea and Clinton"
"10001",0,11,20,0,980,988,987,"Chelsea and Clinton"
"10001",3,13,25,0,968,956,979,"Chelsea and Clinton"
"10001",2,20,28,0,1065,1201,1045,"Chelsea and Clinton"
"10001",4,20,26,0,1191,1345,1168,"Chelsea and Clinton"
"10001",1,8,20,0,931,990,926,"Chelsea and Clinton"
"10001",3,8,18,0,950,1008,946,"Chelsea and Clinton"
"10001",6,7,20,0,414,281,446,"Chelsea and Clinton"
"10001",1,10,21,0,961,1032,954,"Chelsea and Clinton"
"10001",6,17,27,0,918,979,913,"Chelsea and Clinton"
"10001",2,22,26,0,987,1037,985,"Chelsea and Clinton"
"10001",0,21,21,0,983,1007,986,"Chelsea and Clinton"
"10001",4,19,26,0,1207,1407,1174,"Chelsea and Clinton"
"10001",0,12,21,0,985,973,996,"Chelsea and Clinton"
"10001",6,15,26,0,918,978,913,"Chelsea and Clinton"
"10001",0,4,18,0,242,131,268,"Chelsea and Clinton"
"10001",0,14,21,0,968,939,982,"Chelsea and Clinton"
"10001",5,1,21,0,702,873,672,"Chelsea and Clinton"
"10001",5,11,24,0,921,1012,910,"Chelsea and Clinton"
"10001",0,23,20,0,796,616,841,"Chelsea and Clinton"
"10001",4,7,20,0,790,699,816,"Chelsea and Clinton"
"10001",2,18,30,0,1063,1161,1051,"Chelsea and Clinton"
"10001",3,4,17,0,300,197,324,"Chelsea and Clinton"
"10001",5,10,23,0,815,808,823,"Chelsea and Clinton"
"10001",2,2,20,0,319,225,342,"Chelsea and Clinton"
"10001",2,9,21,0,1003,1073,996,"Chelsea and Clinton"
"10001",2,1,21,0,380,343,391,"Chelsea and Clinton"
"10001",2,0,22,0,522,533,524,"Chelsea and Clinton"
"10001",3,5,17,0,319,239,339,"Chelsea and Clinton"
"10001",5,21,27,0,1074,1251,1045,"Chelsea and Clinton"
"10001",5,20,28,0,1094,1263,1068,"Chelsea and Clinton"
"10001",4,18,27,0,1151,1269,1136,"Chelsea and Clinton"
"10001",0,22,21,0,906,873,920,"Chelsea and Clinton"
"10001",1,7,19,0,875,942,868,"Chelsea and Clinton"
"10001",5,22,25,0,1085,1236,1062,"Chelsea and Clinton"
"10001",2,11,24,0,996,1052,992,"Chelsea and Clinton"
"10001",2,21,27,0,1041,1148,1027,"Chelsea and Clinton"
"10001",4,15,26,0,947,964,951,"Chelsea and Clinton"
"10001",6,16,27,0,910,929,913,"Chelsea and Clinton"
"10001",2,10,22,0,989,1062,982,"Chelsea and Clinton"
"10001",1,9,21,0,949,1046,937,"Chelsea and Clinton"
"10001",6,6,19,0,344,210,376,"Chelsea and Clinton"
"10001",2,12,26,0,971,1024,968,"Chelsea and Clinton"
"10001",0,3,18,0,244,130,270,"Chelsea and Clinton"
"10001",6,5,19,0,354,234,383,"Chelsea and Clinton"
"10001",5,2,20,0,588,654,579,"Chelsea and Clinton"
"10001",3,6,17,0,610,630,611,"Chelsea and Clinton"
"10002",3,17,27,0,232,224,236,"Lower East Side"
"10002",1,21,24,0,477,532,469,"Lower East Side"
"10002",0,18,22,0,260,252,263,"Lower East Side"
"10002",6,20,26,0,449,469,448,"Lower East Side"
"10002",4,11,23,0,221,222,223,"Lower East Side"
"10002",0,17,22,0,211,201,215,"Lower East Side"
"10002",5,14,28,0,297,391,280,"Lower East Side"
"10002",4,13,25,0,221,222,222,"Lower East Side"
"10002",0,7,18,0,204,196,207,"Lower East Side"
"10002",2,8,20,0,246,257,246,"Lower East Side"
"10002",4,2,20,0,430,559,407,"Lower East Side"
"10002",4,12,24,0,219,223,220,"Lower East Side"
"10002",1,1,21,0,272,217,286,"Lower East Side"
"10002",5,16,29,0,294,361,283,"Lower East Side"
"10002",6,1,21,0,1322,1793,1232,"Lower East Side"
"10002",2,5,18,0,128,70,141,"Lower East Side"
"10002",1,3,19,0,147,90,161,"Lower East Side"
"10002",1,2,20,0,172,142,180,"Lower East Side"
"10002",3,18,27,0,306,312,307,"Lower East Side"
"10002",4,23,23,0,864,1108,820,"Lower East Side"
"10002",4,22,24,0,747,880,725,"Lower East Side"
"10002",4,14,26,0,226,235,226,"Lower East Side"
"10002",4,21,25,0,632,726,617,"Lower East Side"
"10002",1,13,24,0,205,173,214,"Lower East Side"
"10002",3,19,26,0,388,439,380,"Lower East Side"
"10002",4,5,19,0,143,136,146,"Lower East Side"
